Time,Label,value
2017-03-14 04:00:00-04:00,ASPT,68.24
2017-03-14 04:02:00-04:00,ASPT,68.27
2017-03-14 04:04:00-04:00,ASPT,68.21
2017-03-14 04:06:00-04:00,ASPT,68.18
2017-03-14 04:08:00-04:00,ASPT,68.14
2017-03-14 04:10:00-04:00,ASPT,68.13
2017-03-14 04:12:00-04:00,ASPT,68.16
2017-03-14 04:14:00-04:00,ASPT,68.12
2017-03-14 04:16:00-04:00,ASPT,68.15
2017-03-14 04:18:00-04:00,ASPT,68.17
2017-03-14 04:20:00-04:00,ASPT,68.11
2017-03-14 04:22:00-04:00,ASPT,68.1
2017-03-14 04:24:00-04:00,ASPT,68.11
2017-03-14 04:26:00-04:00,ASPT,68.12
2017-03-14 04:28:00-04:00,ASPT,68.09
2017-03-14 04:30:00-04:00,ASPT,68.1
2017-03-14 04:32:00-04:00,ASPT,68.14
2017-03-14 04:34:00-04:00,ASPT,68.09
2017-03-14 04:36:00-04:00,ASPT,68.09
2017-03-14 04:38:00-04:00,ASPT,68.04
2017-03-14 04:40:00-04:00,ASPT,68.03
2017-03-14 04:42:00-04:00,ASPT,68.07
2017-03-14 04:44:00-04:00,ASPT,68.06
2017-03-14 04:46:00-04:00,ASPT,68.12
2017-03-14 04:48:00-04:00,ASPT,68.08
2017-03-14 04:50:00-04:00,ASPT,68.08
2017-03-14 04:52:00-04:00,ASPT,68.09
2017-03-14 04:54:00-04:00,ASPT,68.09
2017-03-14 04:56:00-04:00,ASPT,68.09
2017-03-14 04:58:00-04:00,ASPT,68.07
2017-03-14 05:00:00-04:00,ASPT,68.04
2017-03-14 05:02:00-04:00,ASPT,68.04
2017-03-14 05:04:00-04:00,ASPT,68.05
2017-03-14 05:06:00-04:00,ASPT,68.06
2017-03-14 05:08:00-04:00,ASPT,68.01
2017-03-14 05:10:00-04:00,ASPT,68.01
2017-03-14 05:12:00-04:00,ASPT,68.04
2017-03-14 05:14:00-04:00,ASPT,68.08
2017-03-14 05:16:00-04:00,ASPT,68.09
2017-03-14 05:18:00-04:00,ASPT,68.05
2017-03-14 05:20:00-04:00,ASPT,68.06
2017-03-14 05:22:00-04:00,ASPT,68.06
2017-03-14 05:24:00-04:00,ASPT,68.06
2017-03-14 05:26:00-04:00,ASPT,68.04
2017-03-14 05:28:00-04:00,ASPT,68.01
2017-03-14 05:30:00-04:00,ASPT,67.99
2017-03-14 05:32:00-04:00,ASPT,68.01
2017-03-14 05:34:00-04:00,ASPT,68.01
2017-03-14 05:36:00-04:00,ASPT,68.08
2017-03-14 05:38:00-04:00,ASPT,68.01
2017-03-14 05:40:00-04:00,ASPT,68.04
2017-03-14 05:42:00-04:00,ASPT,68.04
2017-03-14 05:44:00-04:00,ASPT,68.08
2017-03-14 05:46:00-04:00,ASPT,68.07
2017-03-14 05:48:00-04:00,ASPT,68.04
