Time,Label,value
2017-03-13 10:44:00-04:00,ASPT,70.17
2017-03-13 10:46:00-04:00,ASPT,70.19
2017-03-13 10:48:00-04:00,ASPT,70.26
2017-03-13 10:50:00-04:00,ASPT,70.31
2017-03-13 10:52:00-04:00,ASPT,70.35
2017-03-13 10:54:00-04:00,ASPT,70.38
2017-03-13 10:56:00-04:00,ASPT,70.43
2017-03-13 10:58:00-04:00,ASPT,70.44
2017-03-13 11:00:00-04:00,ASPT,70.48
2017-03-13 11:02:00-04:00,ASPT,70.5
2017-03-13 11:04:00-04:00,ASPT,70.56
2017-03-13 11:06:00-04:00,ASPT,70.57
2017-03-13 11:08:00-04:00,ASPT,70.57
2017-03-13 11:10:00-04:00,ASPT,70.56
2017-03-13 11:12:00-04:00,ASPT,70.57
2017-03-13 11:14:00-04:00,ASPT,70.64
2017-03-13 11:16:00-04:00,ASPT,70.68
2017-03-13 11:18:00-04:00,ASPT,70.69
2017-03-13 11:20:00-04:00,ASPT,70.76
2017-03-13 11:22:00-04:00,ASPT,70.75
2017-03-13 11:24:00-04:00,ASPT,70.76
2017-03-13 11:26:00-04:00,ASPT,70.77
2017-03-13 11:28:00-04:00,ASPT,70.84
2017-03-13 11:30:00-04:00,ASPT,70.87
2017-03-13 11:32:00-04:00,ASPT,70.91
2017-03-13 11:34:00-04:00,ASPT,70.94
2017-03-13 11:36:00-04:00,ASPT,70.94
2017-03-13 11:38:00-04:00,ASPT,70.95
2017-03-13 11:40:00-04:00,ASPT,70.95
2017-03-13 11:42:00-04:00,ASPT,71.0
2017-03-13 11:44:00-04:00,ASPT,71.07
2017-03-13 11:46:00-04:00,ASPT,71.11
2017-03-13 11:48:00-04:00,ASPT,71.07
2017-03-13 11:50:00-04:00,ASPT,71.1
2017-03-13 11:52:00-04:00,ASPT,71.14
2017-03-13 11:54:00-04:00,ASPT,71.13
2017-03-13 11:56:00-04:00,ASPT,71.13
2017-03-13 11:58:00-04:00,ASPT,71.17
2017-03-13 12:00:00-04:00,ASPT,71.18
2017-03-13 12:02:00-04:00,ASPT,71.23
2017-03-13 12:04:00-04:00,ASPT,71.26
2017-03-13 12:06:00-04:00,ASPT,71.36
2017-03-13 12:08:00-04:00,ASPT,71.36
2017-03-13 12:10:00-04:00,ASPT,71.38
2017-03-13 12:12:00-04:00,ASPT,71.4
2017-03-13 12:14:00-04:00,ASPT,71.44
2017-03-13 12:16:00-04:00,ASPT,71.44
2017-03-13 12:18:00-04:00,ASPT,71.46
2017-03-13 12:20:00-04:00,ASPT,71.47
2017-03-13 12:22:00-04:00,ASPT,71.51
2017-03-13 12:24:00-04:00,ASPT,71.51
2017-03-13 12:26:00-04:00,ASPT,71.43
2017-03-13 12:28:00-04:00,ASPT,71.49
2017-03-13 12:30:00-04:00,ASPT,71.55
2017-03-13 12:32:00-04:00,ASPT,71.61
2017-03-13 12:34:00-04:00,ASPT,71.64
2017-03-13 12:36:00-04:00,ASPT,71.63
2017-03-13 12:38:00-04:00,ASPT,71.66
2017-03-13 12:40:00-04:00,ASPT,71.7
2017-03-13 12:42:00-04:00,ASPT,71.76
2017-03-13 12:44:00-04:00,ASPT,71.76
2017-03-13 12:46:00-04:00,ASPT,71.81
2017-03-13 12:48:00-04:00,ASPT,71.84
2017-03-13 12:50:00-04:00,ASPT,71.76
2017-03-13 12:52:00-04:00,ASPT,71.78
2017-03-13 12:54:00-04:00,ASPT,71.84
